what,kind,bundleId,bundleVersion,description,time
stopped,bundle,eclipseme.core.resources,1.7.8,"eclipseme.core.resources",1355764967562
stopped,bundle,eclipseme.toolkit.me4se,1.7.7,"eclipseme.toolkit.me4se",1355764967718
stopped,bundle,eclipseme.toolkit.microemu,1.7.8,"eclipseme.toolkit.microemu",1355764967796
stopped,bundle,eclipseme.toolkit.motorola,1.7.7,"eclipseme.toolkit.motorola",1355764967890
stopped,bundle,eclipseme.toolkit.mpowerplayer,1.7.7,"eclipseme.toolkit.mpowerplayer",1355764967968
stopped,bundle,eclipseme.toolkit.uei,1.7.8,"eclipseme.toolkit.uei",1355764968015
stopped,bundle,eclipseme.ui,1.7.8,"eclipseme.ui",1355764968015
stopped,bundle,eclipseme.core,1.7.9,"eclipseme.core",1355764968015
stopped,bundle,antenna.preprocessor.v2,1.7.7,"antenna.preprocessor.v2",1355764968156
stopped,bundle,oracle.eclipse.tools.orm.ui,3.2.0.201101271036,"oracle.eclipse.tools.orm.ui",1355764968265
stopped,bundle,oracle.eclipse.tools.spring.ui,3.2.0.201101271036,"oracle.eclipse.tools.spring.ui",1355764968265
stopped,bundle,oracle.eclipse.tools.orm,3.2.0.201101271036,"oracle.eclipse.tools.orm",1355764968265
stopped,bundle,oracle.eclipse.tools.weblogic.legacy,3.2.0.201101271036,"oracle.eclipse.tools.weblogic.legacy",1355764968343
stopped,bundle,org.eclipse.jst.j2ee.xdoclet.runtime,1.1.300.v201004280700,"org.eclipse.jst.j2ee.xdoclet.runtime",1355764968546
stopped,bundle,org.eclipse.jst.j2ee.ejb.annotations.xdoclet,1.2.100.v201003112036,"org.eclipse.jst.j2ee.ejb.annotations.xdoclet",1355764968796
stopped,bundle,oracle.eclipse.tools.glassfish,3.2.0.201101241555,"oracle.eclipse.tools.glassfish",1355764968796
stopped,bundle,org.eclipse.jst.server.generic.jboss,1.6.1.v200904151730,"org.eclipse.jst.server.generic.jboss",1355764969078
stopped,bundle,org.eclipse.jst.server.generic.jonas,1.5.205.v200805140145,"org.eclipse.jst.server.generic.jonas",1355764969218
stopped,bundle,org.eclipse.jst.server.generic.oc4j,1.5.206.v20090812,"org.eclipse.jst.server.generic.oc4j",1355764969390
stopped,bundle,org.eclipse.jst.server.websphere.core,1.0.302.v20080620,"org.eclipse.jst.server.websphere.core",1355764969531
stopped,bundle,org.eclipse.jst.server.generic.ui,1.0.505.v20100428,"org.eclipse.jst.server.generic.ui",1355764969671
stopped,bundle,org.eclipse.jst.server.generic.core,1.0.606.v20100512,"org.eclipse.jst.server.generic.core",1355764969718
stopped,bundle,org.eclipse.mylyn.ide.ant,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ant",1355764969781
