what,kind,bundleId,bundleVersion,description,time
started,bundle,org.springframework.ide.eclipse.aop.ui,2.5.2.201101081000-RELEASE,"org.springframework.ide.eclipse.aop.ui",1350974800171
started,bundle,org.springframework.ide.eclipse.beans.core,2.5.2.201101081000-RELEASE,"org.springframework.ide.eclipse.beans.core",1350974800312
started,bundle,org.springframework.ide.eclipse.beans.ui,2.5.2.201101081000-RELEASE,"org.springframework.ide.eclipse.beans.ui",1350974800421
started,bundle,org.springframework.ide.eclipse.core,2.5.2.201101081000-RELEASE,"org.springframework.ide.eclipse.core",1350974800453
started,bundle,org.springframework.ide.eclipse.uaa,2.5.2.201101081000-RELEASE,"org.springframework.ide.eclipse.uaa",1350974800484
started,bundle,org.springframework.ide.eclipse.ui,2.5.2.201101081000-RELEASE,"org.springframework.ide.eclipse.ui",1350974800515
started,bundle,com.collabnet.subversion.merge,3.0.5,"com.collabnet.subversion.merge",1350974800515
started,bundle,org.tigris.subversion.clientadapter,1.8.0,"org.tigris.subversion.clientadapter",1350974800515
started,bundle,org.tigris.subversion.subclipse.core,1.8.4,"org.tigris.subversion.subclipse.core",1350974800515
started,bundle,org.tigris.subversion.subclipse.ui,1.8.4,"org.tigris.subversion.subclipse.ui",1350974800625
os,sysinfo,,,"win32",1350974800640
arch,sysinfo,,,"x86",1350974800640
ws,sysinfo,,,"win32",1350974800640
locale,sysinfo,,,"en_US",1350974800640
processors,sysinfo,,,"2",1350974800640
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1350974800640
java.runtime.version,sysinfo,,,"1.7.0-ea-b59",1350974800640
java.specification.name,sysinfo,,,"Java Platform API Specification",1350974800640
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1350974800640
java.specification.version,sysinfo,,,"1.7",1350974800640
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1350974800640
java.version,sysinfo,,,"1.7.0-ea",1350974800640
java.vm.info,sysinfo,,,"mixed mode",1350974800640
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1350974800640
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1350974800640
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1350974800640
java.vm.specification.version,sysinfo,,,"1.0",1350974800640
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1350974800640
java.vm.version,sysinfo,,,"16.0-b03",1350974800640
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.tasks.ui",1350974803718
started,bundle,org.eclipse.wst.sse.core,1.1.500.v201006020308,"org.eclipse.wst.sse.core",1350974803812
started,bundle,org.eclipse.mylyn.team.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.team.ui",1350974803875
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1350974804265
started,bundle,org.eclipse.update.core,3.2.400.v20100512,"org.eclipse.update.core",1350974805000
started,bundle,org.tigris.subversion.subclipse.mylyn,3.0.0,"org.tigris.subversion.subclipse.mylyn",1350974805062
started,bundle,org.springframework.ide.eclipse.osgi.targetdefinition,2.5.2.201101081000-RELEASE,"org.springframework.ide.eclipse.osgi.targetdefinition",1350974805109
started,bundle,org.eclipse.jst.jsp.core,1.2.300.v201005271731,"org.eclipse.jst.jsp.core",1350974805343
started,bundle,org.eclipse.jst.jsf.common,1.2.0.v20100604-p001,"org.eclipse.jst.jsf.common",1350974807359
started,bundle,oracle.eclipse.tools.common.services,3.2.0.201101271036,"oracle.eclipse.tools.common.services",1350974807515
started,bundle,org.eclipse.jsch.core,1.1.200.I20100505-1245,"org.eclipse.jsch.core",1350974811187
started,bundle,org.eclipse.team.cvs.core,3.3.300.I20100526-0800,"org.eclipse.team.cvs.core",1350974811312
started,bundle,org.jboss.tools.common,3.2.0.v20110215-1235-H25-GA,"org.jboss.tools.common",1350974812093
started,bundle,org.jboss.tools.common.model,3.2.0.v20110215-1235-H25-GA,"org.jboss.tools.common.model",1350974812875
started,bundle,org.eclipse.team.cvs.ui,3.3.300.I20100526-0800,"org.eclipse.team.cvs.ui",1350974813140
started,bundle,edu.hawaii.ics.csdl.jupiter,3.6.0,"edu.hawaii.ics.csdl.jupiter",1350974813734
started,bundle,org.tigris.subversion.subclipse.tools.usage,1.1.0,"org.tigris.subversion.subclipse.tools.usage",1350974815843
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1350974816453
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1350974837218
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1350974839890
started,bundle,org.eclipse.ui.views.properties.tabbed,3.5.100.I20100509-0800,"org.eclipse.ui.views.properties.tabbed",1350974840062
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1350974840546
started,bundle,org.eclipse.jst.jsf.common.ui,1.2.0.v20100329,"org.eclipse.jst.jsf.common.ui",1350974840546
